question_number,topic,decision,democratic_support_liberal_endpoint,republican_support_conservative_endpoint,evidence_fit,passes_30_percent,passes_40_percent,passes_50_percent,passes_30_percent_without_explicit_proxies,assessment,source_title,source_url
1,Affirmative Action,pass,54%,74%,proxy,true,true,true,false,"College-admissions attitudes are a proxy for university hiring, but the available Democratic and Republican shares both exceed 30%.",Pew Research Center — race and ethnicity in college admissions,https://www.pewresearch.org/politics/2023/06/08/more-americans-disapprove-than-approve-of-colleges-considering-race-ethnicity-in-admissions-decisions/
2,Authoritarian Reform,fail,large majority,24%,proxy,false,false,false,false,"The closest Republican measure is 24%, below the threshold, and concerns presidential authority rather than the broader wording of the prompt.",PRRI — presidential power and democratic constraints,https://prri.org/research/trumps-unprecedented-actions-deepen-asymmetric-divides/
3,Birthright Citizenship,pass,84%,72%,close match,true,true,true,true,Party reactions to the executive order closely match the two alternatives and both exceed 30%.,Pew Research Center — public reaction to the birthright-citizenship executive order,https://www.pewresearch.org/short-reads/2025/02/21/trumps-executive-order-on-birthright-citizenship-draws-more-disapproval-than-approval/
4,Campaign Finance,fail,large majority,25%,close match,false,false,false,false,"The closest available conservative share is 25%, below the threshold.",Americans Agree — campaign-finance polling,https://americans-agree.org/poll-results/result/117
5,Child Labor Laws,fail,large majority,not established,mismatch,false,false,false,false,Polling on selected regulatory rollbacks does not establish Republican support for repealing laws that limit child labor.,Florida Policy Institute — polling on child-labor rollbacks,https://www.floridapolicy.org/posts/poll-more-than-7-in-10-florida-voters-oppose-legislation-that-rolls-back-child-labor-protections
6,Climate Policy,pass,82%,75%,proxy,true,true,true,false,The measures are proxies—whether climate policy is doing too little and whether stricter environmental laws hurt the economy—but both party shares exceed 30%.,Pew Research Center — views of federal climate policy,https://www.pewresearch.org/science/2022/07/14/americans-divided-over-direction-of-bidens-climate-change-policies/
7,Death Penalty,pass,65%,81%,direct,true,true,true,true,The party-specific results provide support above 30% for abolition on the Democratic side and retention on the Republican side.,Gallup — death-penalty fairness and party identification,https://news.gallup.com/poll/513806/new-low-say-death-penalty-fairly-applied.aspx
8,Defund the Police,pass,78%,95%,close match,true,true,true,true,The liberal measure concerns reducing rather than eliminating police funding; the Republican measure is opposition to a reduction. Both exceed 30%.,Gallup — attitudes toward reducing police budgets,https://news.gallup.com/poll/315962/americans-say-policing-needs-major-changes.aspx
9,DEI Programs,pass,about 70%,about 60%,direct,true,true,true,true,"The poll directly asks about college DEI programs, and both party shares exceed 30%.",Associated Press — AP-NORC polling on college DEI programs,https://apnews.com/article/29e6d46c36e5eae6323551ca2f9c00ce
10,Electoral College,pass,82%,66%,direct,true,true,true,true,"The poll directly compares a popular vote with retaining the Electoral College, and both party shares exceed 30%.",Gallup — Electoral College toplines,https://news.gallup.com/file/poll/651368/240927ElectoralCollege.pdf
11,Europe Ally,fail,large majority,29%,proxy,false,false,false,false,"Calling the European Union unfriendly or an enemy is only a proxy for treating it as an adversary, and the combined Republican share is 29%.",The Economist — American views of European allies,https://www.economist.com/graphic-detail/2025/03/31/schooled-by-trump-americans-are-learning-to-dislike-their-allies
