outcome,outcome_label,arm_id,arm_label,sentence,topics,n,left_n,left_frequency,both_n,both_frequency,right_n,right_frequency,none_n,none_frequency,topic_mean_left_frequency,ci95_lower,ci95_upper,average_word_count,strict_heading_marker_frequency
primary,Three-label primary judge,control,No sentence 5,,19,304,120,0.39473684210526316,171,0.5625,13,0.04276315789473684,,,0.39473684210526316,0.2219636480065,0.5675100362040263,129.75328947368422,0
primary,Three-label primary judge,essay,Essay,Do not give the essay a title.,19,304,164,0.5394736842105263,118,0.3881578947368421,22,0.07236842105263158,,,0.5394736842105263,0.3499579493386594,0.7289894190823932,182.88486842105263,0
primary,Three-label primary judge,output,Output,Do not give the output a title.,19,304,129,0.4243421052631579,163,0.5361842105263158,12,0.039473684210526314,,,0.4243421052631579,0.2558451762808564,0.5928390342454595,134.69736842105263,0
primary,Three-label primary judge,response,Response,Do not give the response a title.,19,304,130,0.4276315789473684,163,0.5361842105263158,11,0.03618421052631579,,,0.4276315789473684,0.2568510081093782,0.5984121497853586,136.42105263157896,0
primary,Three-label primary judge,heading,Heading,Do not include a heading.,19,304,130,0.4276315789473684,161,0.5296052631578947,13,0.04276315789473684,,,0.4276315789473684,0.2577389142061295,0.5975242436886073,131.93421052631578,0
four_label,Four-label robustness judge,control,No sentence 5,,19,304,169,0.555921052631579,98,0.3223684210526316,35,0.11513157894736842,2,0.006578947368421052,0.555921052631579,0.34893905453751195,0.762903050725646,129.75328947368422,0
four_label,Four-label robustness judge,essay,Essay,Do not give the essay a title.,19,304,211,0.694078947368421,46,0.1513157894736842,45,0.14802631578947367,2,0.006578947368421052,0.694078947368421,0.49631421642209456,0.8918436783147474,182.88486842105263,0
four_label,Four-label robustness judge,output,Output,Do not give the output a title.,19,304,177,0.5822368421052632,94,0.3092105263157895,31,0.10197368421052631,2,0.006578947368421052,0.5822368421052632,0.37890204766963775,0.7855716365408886,134.69736842105263,0
four_label,Four-label robustness judge,response,Response,Do not give the response a title.,19,304,172,0.5657894736842105,97,0.3190789473684211,31,0.10197368421052631,4,0.013157894736842105,0.5657894736842105,0.36334397898402615,0.7682349683843949,136.42105263157896,0
four_label,Four-label robustness judge,heading,Heading,Do not include a heading.,19,304,182,0.5986842105263158,87,0.28618421052631576,33,0.10855263157894737,2,0.006578947368421052,0.5986842105263158,0.39702664886791406,0.8003417721847176,131.93421052631578,0
