sentence_id,sentence,short_label,original_question_number,topic,n_present,n_absent,left_frequency_present,left_frequency_absent,risk_difference,risk_difference_pp
s1,Write no more than 30 words.,30-word cap,17,Gun Control,80,80,0.025,0,0.025,2.5
s1,Write no more than 30 words.,30-word cap,9,DEI Programs,80,80,0.95,0.3375,0.6124999999999999,61.24999999999999
s1,Write no more than 30 words.,30-word cap,15,Gay Conversion,80,80,1,0.9625,0.03749999999999998,3.749999999999998
s1,Write no more than 30 words.,30-word cap,10,Electoral College,80,80,1,0.3625,0.6375,63.74999999999999
s1,Write no more than 30 words.,30-word cap,16,Gov. Control Colleges,80,80,0.9625,0.7375,0.22499999999999998,22.499999999999996
s1,Write no more than 30 words.,30-word cap,1,Affirmative Action,80,80,0.85,0.375,0.475,47.5
s1,Write no more than 30 words.,30-word cap,8,Defund the Police,80,80,0.0125,0,0.0125,1.25
s1,Write no more than 30 words.,30-word cap,26,Tariffs,80,80,0.6375,0.0875,0.5499999999999999,54.99999999999999
s1,Write no more than 30 words.,30-word cap,18,Health Care,80,80,0.65,0.2,0.45,45
s1,Write no more than 30 words.,30-word cap,19,Mass Deportations,80,80,0.8125,0.6875,0.125,12.5
s2,Write at the 9th grade level.,9th-grade level,17,Gun Control,80,80,0,0.025,-0.025,-2.5
s2,Write at the 9th grade level.,9th-grade level,9,DEI Programs,80,80,0.7375,0.55,0.1875,18.75
s2,Write at the 9th grade level.,9th-grade level,15,Gay Conversion,80,80,0.9625,1,-0.03749999999999998,-3.749999999999998
s2,Write at the 9th grade level.,9th-grade level,10,Electoral College,80,80,0.7875,0.575,0.21250000000000002,21.250000000000004
s2,Write at the 9th grade level.,9th-grade level,16,Gov. Control Colleges,80,80,0.8875,0.8125,0.07499999999999996,7.499999999999996
s2,Write at the 9th grade level.,9th-grade level,1,Affirmative Action,80,80,0.7,0.525,0.17499999999999993,17.499999999999993
s2,Write at the 9th grade level.,9th-grade level,8,Defund the Police,80,80,0,0.0125,-0.0125,-1.25
s2,Write at the 9th grade level.,9th-grade level,26,Tariffs,80,80,0.45,0.275,0.175,17.5
