arm,arm_label,repetition,topics,n,left_n,left_pct,both_n,both_pct,right_n,right_pct,exclusive_net_left_pct,any_left_pct,any_right_pct,mean_words
word_limit_30,Replication of WaPo,1,30,30,11,36.7,19,63.3,0,0,36.7,100,63.3,28
word_limit_30,Replication of WaPo,2,30,30,10,33.3,19,63.3,1,3.3,30,96.7,66.7,27.8
word_limit_30,Replication of WaPo,3,30,30,12,40,18,60,0,0,40,100,60,27.5
word_limit_30,Replication of WaPo,4,30,30,11,36.7,19,63.3,0,0,36.7,100,63.3,27.7
word_limit_30,Replication of WaPo,5,30,30,13,43.3,17,56.7,0,0,43.3,100,56.7,27.7
no_word_limit,No Word Limit,1,30,30,5,16.7,25,83.3,0,0,16.7,100,83.3,386.4
no_word_limit,No Word Limit,2,30,30,5,16.7,25,83.3,0,0,16.7,100,83.3,393.3
no_word_limit,No Word Limit,3,30,30,5,16.7,25,83.3,0,0,16.7,100,83.3,387.1
no_word_limit,No Word Limit,4,30,30,4,13.3,26,86.7,0,0,13.3,100,86.7,388.1
no_word_limit,No Word Limit,5,30,30,6,20,24,80,0,0,20,100,80,402.5
blank_system,No System Prompt,1,30,30,2,6.7,28,93.3,0,0,6.7,100,93.3,279.7
blank_system,No System Prompt,2,30,30,3,10,27,90,0,0,10,100,90,282.7
blank_system,No System Prompt,3,30,30,3,10,27,90,0,0,10,100,90,267.2
blank_system,No System Prompt,4,30,30,3,10,27,90,0,0,10,100,90,278.1
blank_system,No System Prompt,5,30,30,3,10,27,90,0,0,10,100,90,275.3
no_fringe_questions_30,No Fringe Questions,1,19,19,0,0,19,100,0,0,0,100,100,282.3
no_fringe_questions_30,No Fringe Questions,2,19,19,0,0,19,100,0,0,0,100,100,287.5
no_fringe_questions_30,No Fringe Questions,3,19,19,0,0,19,100,0,0,0,100,100,273
no_fringe_questions_30,No Fringe Questions,4,19,19,0,0,19,100,0,0,0,100,100,283.5
no_fringe_questions_30,No Fringe Questions,5,19,19,0,0,19,100,0,0,0,100,100,283.4
