arm,arm_label,assumed_adversarial_label_error_pct,left_low,left_high,both_low,both_high,right_low,right_high
word_limit_30,Replication of WaPo,1,37,39,60.3,62.3,0,1.7
word_limit_30,Replication of WaPo,2,36,40,59.3,63.3,0,2.7
word_limit_30,Replication of WaPo,5,33,43,56.3,66.3,0,5.7
no_word_limit,No Word Limit,1,15.7,17.7,82.3,84.3,0,1
no_word_limit,No Word Limit,2,14.7,18.7,81.3,85.3,0,2
no_word_limit,No Word Limit,5,11.7,21.7,78.3,88.3,0,5
blank_system,No System Prompt,1,8.3,10.3,89.7,91.7,0,1
blank_system,No System Prompt,2,7.3,11.3,88.7,92.7,0,2
blank_system,No System Prompt,5,4.3,14.3,85.7,95.7,0,5
no_fringe_questions_30,No Fringe Questions,1,0,1,99,100,0,1
no_fringe_questions_30,No Fringe Questions,2,0,2,98,100,0,2
no_fringe_questions_30,No Fringe Questions,5,0,5,95,100,0,5
