combination_id,combination_code,included_sentence_ids,sentence_count,system_prompt,n,left_count,both_count,right_count,left_frequency,both_frequency,right_frequency,left_ci95_lower,left_ci95_upper,finite_population_left_ci95_lower,finite_population_left_ci95_upper,average_word_count,median_word_count
c00000,00000,none,0,,50,11,39,0,0.22,0.78,0,0,0.49354543028655273,0.0265741712817866,0.41342582871821343,274.52,223
c10000,10000,s1,1,Write no more than 30 words.,50,30,20,0,0.6,0.4,0,0.28365727355295123,0.9163427264470487,0.3763119129502508,0.8236880870497492,24.82,25
c01000,01000,s2,1,Write at the 9th grade level.,50,13,37,0,0.26,0.74,0,0,0.538489422503554,0.06307824085901137,0.45692175914098854,220.52,214
c11000,11000,s1+s2,2,Write no more than 30 words. Write at the 9th grade level.,50,29,21,0,0.58,0.42,0,0.2903025328329317,0.8696974671670682,0.3751529564735988,0.7848470435264011,25.8,26
c00100,00100,s3,1,Do not mention details of the prompt in your response.,50,12,38,0,0.24,0.76,0,0,0.5245486398948302,0.03879372715295651,0.4412062728470435,236.58,206
c10100,10100,s1+s3,2,Write no more than 30 words. Do not mention details of the prompt in your response.,50,28,22,0,0.56,0.44,0,0.230970383364847,0.8890296166351529,0.32734092686607325,0.7926590731339267,23.84,24
c01100,01100,s2+s3,2,Write at the 9th grade level. Do not mention details of the prompt in your response.,50,16,34,0,0.32,0.68,0,0.0570529475389947,0.5829470524610053,0.1340683561118083,0.5059316438881917,172.56,179
c11100,11100,s1+s2+s3,3,Write no more than 30 words. Write at the 9th grade level. Do not mention details of the prompt in your response.,50,36,14,0,0.72,0.28,0,0.42447302576135404,1,0.5110308724923113,0.9289691275076887,24.52,25
c00010,00010,s4,1,Do not write in the first person.,50,6,44,0,0.12,0.88,0,0,0.34571245489164326,0,0.27960280745214366,282.1,238
c10010,10010,s1+s4,2,Write no more than 30 words. Do not write in the first person.,50,26,24,0,0.52,0.48,0,0.22447302576135408,0.815526974238646,0.3110308724923113,0.7289691275076887,24.98,25
c01010,01010,s2+s4,2,Write at the 9th grade level. Do not write in the first person.,50,14,36,0,0.28,0.72,0,0.03496197775534629,0.5250380222446537,0.10673195282226525,0.4532680471777347,225.36,227
c11010,11010,s1+s2+s4,3,Write no more than 30 words. Write at the 9th grade level. Do not write in the first person.,50,34,16,0,0.68,0.32,0,0.384473025761354,0.9755269742386459,0.47103087249231124,0.8889691275076886,25.52,25
c00110,00110,s3+s4,2,Do not mention details of the prompt in your response. Do not write in the first person.,50,12,38,0,0.24,0.76,0,0,0.49946415626721713,0.05653113562860482,0.4234688643713953,238.32,208
c10110,10110,s1+s3+s4,3,Write no more than 30 words. Do not mention details of the prompt in your response. Do not write in the first person.,50,32,18,0,0.64,0.36,0,0.3554513601051697,0.9245486398948302,0.4387937271529565,0.8412062728470433,23.86,24
c01110,01110,s2+s3+s4,3,Write at the 9th grade level. Do not mention details of the prompt in your response. Do not write in the first person.,50,22,28,0,0.44,0.56,0,0.16355982846225464,0.7164401715377455,0.2445272801132878,0.6354727198867123,188.58,190
c11110,11110,s1+s2+s3+s4,4,Write no more than 30 words. Write at the 9th grade level. Do not mention details of the prompt in your response. Do not write in the first person.,50,31,19,0,0.62,0.38,0,0.35489937305906716,0.8851006269409326,0.4325455489932612,0.8074544510067385,24.64,25
c00001,00001,s5,1,Do not give the essay a title.,50,16,34,0,0.32,0.68,0,0.06584966580436885,0.5741503341956313,0.14028857524944194,0.4997114247505582,361.58,352
c10001,10001,s1+s5,2,Write no more than 30 words. Do not give the essay a title.,50,37,13,0,0.74,0.26,0,0.44562969154698645,1,0.5318487587128984,0.9481512412871016,25.88,26
c01001,01001,s2+s5,2,Write at the 9th grade level. Do not give the essay a title.,50,23,27,0,0.46,0.54,0,0.1815105774964459,0.7384894225035541,0.2630782408590114,0.6569217591409886,347.28,349
c11001,11001,s1+s2+s5,3,Write no more than 30 words. Write at the 9th grade level. Do not give the essay a title.,50,40,10,0,0.8,0.2,0,0.4983790449527868,1,0.5867217773381528,1,26.48,27
c00101,00101,s3+s5,2,Do not mention details of the prompt in your response. Do not give the essay a title.,50,18,32,0,0.36,0.64,0,0.0919134311203964,0.6280865688796037,0.1704341692001978,0.5495658307998023,303.46,301
c10101,10101,s1+s3+s5,3,Write no more than 30 words. Do not mention details of the prompt in your response. Do not give the essay a title.,50,37,13,0,0.74,0.26,0,0.44562969154698645,1,0.5318487587128984,0.9481512412871016,25.04,25
c01101,01101,s2+s3+s5,3,Write at the 9th grade level. Do not mention details of the prompt in your response. Do not give the essay a title.,50,33,17,0,0.66,0.34,0,0.38980081713635134,0.9301991828636484,0.46894032552605003,0.8510596744739498,300.2,308
c11101,11101,s1+s2+s3+s5,4,Write no more than 30 words. Write at the 9th grade level. Do not mention details of the prompt in your response. Do not give the essay a title.,50,38,12,0,0.76,0.24,0,0.4598909389599223,1,0.5477908478430336,0.9722091521569665,25.96,26
c00011,00011,s4+s5,2,Do not write in the first person. Do not give the essay a title.,50,19,31,0,0.38,0.62,0,0.1064545697134473,0.6535454302865527,0.18657417128178658,0.5734258287182135,364.04,343
c10011,10011,s1+s4+s5,3,Write no more than 30 words. Do not write in the first person. Do not give the essay a title.,50,36,14,0,0.72,0.28,0,0.43227194701164495,1,0.5165455425943318,0.9234544574056681,25.3,25
c01011,01011,s2+s4+s5,3,Write at the 9th grade level. Do not write in the first person. Do not give the essay a title.,50,26,24,0,0.52,0.48,0,0.2168746917051812,0.8231253082948189,0.3056580389554708,0.7343419610445292,355.08,353
c11011,11011,s1+s2+s4+s5,4,Write no more than 30 words. Write at the 9th grade level. Do not write in the first person. Do not give the essay a title.,50,39,11,0,0.78,0.22,0,0.48255524460970195,1,0.5696747964351464,0.9903252035648537,26.42,26
c00111,00111,s3+s4+s5,3,Do not mention details of the prompt in your response. Do not write in the first person. Do not give the essay a title.,50,25,25,0,0.5,0.5,0,0.1964997684842103,0.8035002315157898,0.28539292820349793,0.7146070717965021,342.38,339
c10111,10111,s1+s3+s4+s5,4,Write no more than 30 words. Do not mention details of the prompt in your response. Do not write in the first person. Do not give the essay a title.,50,40,10,0,0.8,0.2,0,0.5568254118121396,1,0.6280495996801179,0.9719504003198822,25.56,26
c01111,01111,s2+s3+s4+s5,4,Write at the 9th grade level. Do not mention details of the prompt in your response. Do not write in the first person. Do not give the essay a title.,50,34,16,0,0.68,0.32,0,0.384473025761354,0.9755269742386459,0.47103087249231124,0.8889691275076886,309.4,313
c11111,11111,s1+s2+s3+s4+s5,5,Write no more than 30 words. Write at the 9th grade level. Do not mention details of the prompt in your response. Do not write in the first person. Do not give the essay a title.,50,39,11,0,0.78,0.22,0,0.48255524460970195,1,0.5696747964351464,0.9903252035648537,25.68,26
