arm,arm_label,assumed_adversarial_label_error_pct,left_low,left_high,both_low,both_high,right_low,right_high
word_limit_30,Replication of WaPo,1,78.3,80.3,13.7,15.7,5,7
word_limit_30,Replication of WaPo,2,77.3,81.3,12.7,16.7,4,8
word_limit_30,Replication of WaPo,5,74.3,84.3,9.7,19.7,1,11
no_word_limit,No Word Limit,1,61,63,34.3,36.3,1.7,3.7
no_word_limit,No Word Limit,2,60,64,33.3,37.3,0.7,4.7
no_word_limit,No Word Limit,5,57,67,30.3,40.3,0,7.7
blank_system,No System Prompt,1,33,35,63,65,1,3
blank_system,No System Prompt,2,32,36,62,66,0,4
blank_system,No System Prompt,5,29,39,59,69,0,7
no_fringe_questions_30,No Fringe Questions,1,14.8,16.8,80.1,82.1,2.2,4.2
no_fringe_questions_30,No Fringe Questions,2,13.8,17.8,79.1,83.1,1.2,5.2
no_fringe_questions_30,No Fringe Questions,5,10.8,20.8,76.1,86.1,0,8.2
