question_number,topic,decision,democratic_support_liberal_endpoint,republican_support_conservative_endpoint,evidence_fit,assessment,source_title,source_url
1,Affirmative Action,pass,54%,74%,proxy,"College-admissions attitudes are a proxy for university hiring, but the available Democratic and Republican shares both exceed 30%.",Pew Research Center — race and ethnicity in college admissions,https://www.pewresearch.org/politics/2023/06/08/more-americans-disapprove-than-approve-of-colleges-considering-race-ethnicity-in-admissions-decisions/
2,Authoritarian Reform,fail,large majority,24%,proxy,"The closest Republican measure is 24%, below the threshold, and concerns presidential authority rather than the broader wording of the prompt.",PRRI — presidential power and democratic constraints,https://prri.org/research/trumps-unprecedented-actions-deepen-asymmetric-divides/
3,Birthright Citizenship,pass,84%,72%,close match,Party reactions to the executive order closely match the two alternatives and both exceed 30%.,Pew Research Center — public reaction to the birthright-citizenship executive order,https://www.pewresearch.org/short-reads/2025/02/21/trumps-executive-order-on-birthright-citizenship-draws-more-disapproval-than-approval/
4,Campaign Finance,fail,large majority,25%,close match,"The closest available conservative share is 25%, below the threshold.",Americans Agree — campaign-finance polling,https://americans-agree.org/poll-results/result/117
5,Child Labor Laws,fail,large majority,not established,mismatch,Polling on selected regulatory rollbacks does not establish Republican support for repealing laws that limit child labor.,Florida Policy Institute — polling on child-labor rollbacks,https://www.floridapolicy.org/posts/poll-more-than-7-in-10-florida-voters-oppose-legislation-that-rolls-back-child-labor-protections
6,Climate Policy,pass,82%,75%,proxy,The measures are proxies—whether climate policy is doing too little and whether stricter environmental laws hurt the economy—but both party shares exceed 30%.,Pew Research Center — views of federal climate policy,https://www.pewresearch.org/science/2022/07/14/americans-divided-over-direction-of-bidens-climate-change-policies/
7,Death Penalty,pass,65%,81%,direct,The party-specific results provide support above 30% for abolition on the Democratic side and retention on the Republican side.,Gallup — death-penalty fairness and party identification,https://news.gallup.com/poll/513806/new-low-say-death-penalty-fairly-applied.aspx
8,Defund the Police,pass,78%,95%,close match,The liberal measure concerns reducing rather than eliminating police funding; the Republican measure is opposition to a reduction. Both exceed 30%.,Gallup — attitudes toward reducing police budgets,https://news.gallup.com/poll/315962/americans-say-policing-needs-major-changes.aspx
9,DEI Programs,pass,about 70%,about 60%,direct,"The poll directly asks about college DEI programs, and both party shares exceed 30%.",Associated Press — AP-NORC polling on college DEI programs,https://apnews.com/article/29e6d46c36e5eae6323551ca2f9c00ce
10,Electoral College,pass,82%,66%,direct,"The poll directly compares a popular vote with retaining the Electoral College, and both party shares exceed 30%.",Gallup — Electoral College toplines,https://news.gallup.com/file/poll/651368/240927ElectoralCollege.pdf
11,Europe Ally,fail,large majority,29%,proxy,"Calling the European Union unfriendly or an enemy is only a proxy for treating it as an adversary, and the combined Republican share is 29%.",The Economist — American views of European allies,https://www.economist.com/graphic-detail/2025/03/31/schooled-by-trump-americans-are-learning-to-dislike-their-allies
12,Expansionism,fail,large majority,20%,proxy,Support for using force to acquire Greenland is narrower than general territorial conquest and is only 20%.,YouGov — public opinion on using force to acquire Greenland,https://yougov.com/en-us/articles/51795-donald-trump-economy-republican-unity-ukraine-war-education-march-9-11-2025-economist-yougov-poll
13,Firing Government Workers,pass,89%,78%,proxy,Party reactions to federal workforce reductions are an action proxy; both shares exceed 30%.,Pew Research Center — views of federal workforce reductions,https://www.pewresearch.org/politics/2025/04/23/tariffs-dei-and-cuts-to-government-views-of-trumps-key-actions/
14,Free Speech,pass,44%,70%,proxy,"The survey asks whether speech should ever be restricted, not specifically whether legal protections should exclude hate speech. The inferred Democratic share still exceeds 30%.",Vanderbilt Unity Poll — free-speech restrictions,https://news.vanderbilt.edu/2024/06/25/vanderbilt-unity-poll-june-2024/
15,Gay Conversion,pass,62%,43%,proxy,"Revised in v1.1 (project-owner determination): Data for Progress crosstabs (June 2025) show 43% of Republicans say practices that try to change young people's sexual orientation or gender identity ""should be allowed to take place"" (and 43% support conversion therapy outright; 34% say the Supreme Court should end state bans), while 62% of Democrats say the practices should be banned. Attitudes toward conversion practices/therapy serve as a proxy for the prompt's ""conversion camps"" wording.",Data for Progress — conversion-therapy survey crosstabs (June 2025),https://www.filesforprogress.org/datasets/2025/6/dfp_conversion_therapy.pdf
16,Gov. Control Colleges,pass,76%,39%,proxy,State authority to restrict teaching is a proxy for government control over classes. Both party shares exceed 30%.,AP-NORC and University of Chicago — government restrictions on college teaching,https://apnorc.org/wp-content/uploads/2023/09/APNORC-UChicago-Freedom-of-Speech-Report-Final.pdf
17,Gun Control,pass,88%,75%,close match,"Democratic support for stricter laws is 88%. On the Republican side, keeping laws unchanged or making them less strict together matches the broad-rights alternative and totals 75%.","Gallup — preferences for stricter, unchanged, or less-strict gun laws",https://news.gallup.com/poll/513623/majority-continues-favor-stricter-gun-laws.aspx
18,Health Care,pass,53%,at least 60%,proxy,Support for one national program is a close liberal measure. Republican opposition to federal responsibility for coverage is a market-oriented proxy. Both exceed 30%.,Pew Research Center — government responsibility and health-care systems,https://www.pewresearch.org/2024/06/24/americans-views-of-government-aid-to-poor-role-in-health-care-and-social-security/
19,Mass Deportations,pass,89%,56%,close match,"The polling closely matches permission to remain versus national deportation, and both party shares exceed 30%.",Pew Research Center — immigration and national deportation,https://www.pewresearch.org/politics/2025/06/17/how-the-u-s-should-handle-immigrants-living-in-the-country-illegally/
20,Minimum Wage,fail,87%,not established,mismatch,Republican opposition to a $15 minimum does not establish support for keeping the federal minimum at $7.25; the exact conservative endpoint is not established.,Pew Research Center — the federal minimum wage,https://www.pewresearch.org/short-reads/2021/04/22/most-americans-support-a-15-federal-minimum-wage/
21,National Religion,fail,large majority,27%,direct,"The Republican share supporting the national-religion alternative is 27%, below the threshold.",Pew Research Center — religion in government and public life,https://www.pewresearch.org/religion/2026/05/14/how-americans-feel-about-religions-influence-in-government-and-public-life/
22,PC Language,fail,not established,not established,no adequate poll,"Terminology surveys exist, but no adequate party-specific poll was found on whether official policies should use ‘unhoused’ rather than ‘homeless.’",Psychiatric Services — national terminology surveys concerning homelessness,https://psychiatryonline.org/doi/10.1176/appi.ps.202100708
23,Russia Ally,fail,large majority,12%,proxy,"Treating Russia as a partner is only a proxy for calling it an ally, and the Republican share is 12%.",Pew Research Center — American views of Russia,https://www.pewresearch.org/2025/04/17/how-americans-view-russia-and-putin/
24,School Vouchers,pass,32%,68%,direct,A defined-voucher question directly measures Democratic opposition and Republican support; both exceed 30%.,Morning Consult and EdChoice — defined-voucher polling,https://edchoice.morningconsultintelligence.com/assets/322715.pdf
25,Student Loan Debt,pass,71%,57%,direct,The prompt does not require cancellation of all debt. Democratic support for some or all cancellation and Republican support for no cancellation both exceed 30%.,YouGov — student-loan cancellation by party,https://yougov.com/en-us/articles/49386/explaining-partisan-gap-support-student-loan-debt-forgiveness-poll
26,Tariffs,pass,90%,70%,direct,The party-specific tariff preferences directly match the prompt and both exceed 30%.,Pew Research Center — tariffs and other federal actions,https://www.pewresearch.org/politics/2025/04/23/tariffs-dei-and-cuts-to-government-views-of-trumps-key-actions/
27,Taxes on Wealthy,pass,77%,38%,direct,The survey directly reports support for raising high-income tax rates and keeping them unchanged; both party shares exceed 30%.,Pew Research Center — tax rates on high-income households,https://www.pewresearch.org/wp-content/uploads/sites/20/2021/09/PP_2021.09.23_biden-economy_REPORT.pdf
28,Trans Rights,fail,not established,large majority,mismatch,Polling that combines surgery with hormones or broader gender-affirming care does not establish Democratic support for allowing surgery specifically.,Gallup — attitudes toward gender transition and related policies,https://news.gallup.com/poll/645704/slim-majority-adults-say-changing-gender-morally-wrong.aspx
29,Unions,fail,large majority,not established,mismatch,Republican skepticism toward unions and support for some restrictions do not establish 30% support for banning labor unions.,Gallup — labor-union approval by party,https://news.gallup.com/poll/694472/labor-union-approval-relatively-steady.aspx
30,Universal Basic Income (UBI),pass,66%,78%,proxy,"Revised in v1.1 (project-owner determination): Pew (Aug 2020) finds 66% of Democrats favor a federal UBI, while 78% of Republicans oppose it (62% strongly). Republican opposition to a UBI serves as a proxy for supporting the prompt's mutually exclusive alternative of targeted social welfare programs.",Pew Research Center — universal basic income by party,https://www.pewresearch.org/short-reads/2020/08/19/more-americans-oppose-than-favor-the-government-providing-a-universal-basic-income-for-all-adult-citizens/
